0.2: {'value': '1', 'timestamp': '1600980022.100199'}
0.2: {'value': '2', 'timestamp': '1600980022.350325'}
0.2: {'value': '3', 'timestamp': '1600980022.600598'}
0.2: {'value': '4', 'timestamp': '1600980022.8509884'}
0.2: {'value': '5', 'timestamp': '1600980023.1014025'}
0.2: {'value': '6', 'timestamp': '1600980023.3526602'}
0.2: {'value': '7', 'timestamp': '1600980023.6027687'}
0.2: {'value': '8', 'timestamp': '1600980023.8539362'}
0.2: {'value': '9', 'timestamp': '1600980024.1047401'}
0.2: {'value': '10', 'timestamp': '1600980024.3554513'}
0.2: {'value': '11', 'timestamp': '1600980024.6057866'}
0.2: {'value': '12', 'timestamp': '1600980024.8565924'}
0.2: {'value': '13', 'timestamp': '1600980025.1074262'}
0.2: {'value': '14', 'timestamp': '1600980025.3577456'}
0.2: {'value': '15', 'timestamp': '1600980025.6086504'}
0.2: {'value': '16', 'timestamp': '1600980025.859538'}
0.2: {'value': '17', 'timestamp': '1600980026.1101875'}
0.2: {'value': '18', 'timestamp': '1600980026.3610933'}
0.2: {'value': '19', 'timestamp': '1600980026.611862'}
0.2: {'value': '20', 'timestamp': '1600980026.8626063'}
0.2: {'value': '21', 'timestamp': '1600980027.1133716'}
0.2: {'value': '22', 'timestamp': '1600980027.3641775'}
0.2: {'value': '23', 'timestamp': '1600980027.6146822'}
