y,timestampOne,x,z,type
-0.0302734375,1602787882.398708,-0.03466796875,-0.986328125,acc
-0.0302734375,1602787882.398708,-0.03466796875,-0.986328125,acc
-0.4268292784690857,1602787882.4470863,-0.7317073345184326,-0.18292683362960815,gyro
-0.0322265625,1602787882.4487193,-0.0361328125,-0.986328125,acc
-0.4268292784690857,1602787882.449934,-0.7317073345184326,-0.12195122241973877,gyro
-0.03125,1602787882.4508657,-0.0341796875,-0.986328125,acc
-0.4878048896789551,1602787882.4955,-0.7317073345184326,-0.12195122241973877,gyro
-0.02978515625,1602787882.4964173,-0.0341796875,-0.98828125,acc
-0.4878048896789551,1602787882.497477,-0.6707317233085632,-0.12195122241973877,gyro
-0.03076171875,1602787882.4981952,-0.03564453125,-0.986328125,acc
-0.4268292784690857,1602787882.5444143,-0.7317073345184326,-0.12195122241973877,gyro
-0.03173828125,1602787882.5459158,-0.03564453125,-0.986328125,acc
-0.4268292784690857,1602787882.6420841,-0.792682945728302,-0.12195122241973877,gyro
-0.0302734375,1602787882.6430266,-0.0341796875,-0.98779296875,acc
-0.4268292784690857,1602787882.643888,-0.7317073345184326,-0.12195122241973877,gyro
-0.03173828125,1602787882.644689,-0.0341796875,-0.9873046875,acc
-0.4878048896789551,1602787882.7398038,-0.7317073345184326,-0.060975611209869385,gyro
-0.03271484375,1602787882.7406402,-0.0361328125,-0.98681640625,acc
-0.3658536672592163,1602787882.7880476,-0.7317073345184326,-0.12195122241973877,gyro
-0.03076171875,1602787882.7893848,-0.03466796875,-0.98486328125,acc
-0.4268292784690857,1602787882.7906263,-0.7317073345184326,-0.18292683362960815,gyro
-0.0283203125,1602787882.7933633,-0.0341796875,-0.98681640625,acc
-0.4878048896789551,1602787882.8408148,-0.7317073345184326,-0.12195122241973877,gyro
-0.03076171875,1602787882.8856027,-0.0361328125,-0.986328125,acc
-0.4268292784690857,1602787882.8874729,-0.7317073345184326,-0.060975611209869385,gyro
-0.0322265625,1602787882.888994,-0.0361328125,-0.986328125,acc
-0.4268292784690857,1602787882.8897939,-0.7317073345184326,-0.12195122241973877,gyro
-0.02978515625,1602787882.934913,-0.03369140625,-0.9853515625,acc
-0.3658536672592163,1602787882.9361928,-0.7317073345184326,-0.12195122241973877,gyro
-0.02978515625,1602787882.9379203,-0.0341796875,-0.98486328125,acc
-0.4268292784690857,1602787882.9419029,-0.7317073345184326,-0.12195122241973877,gyro
-0.0302734375,1602787882.982777,-0.037109375,-0.9873046875,acc
-0.4878048896789551,1602787882.9841747,-0.7317073345184326,-0.060975611209869385,gyro
-0.03076171875,1602787882.9851997,-0.03515625,-0.98681640625,acc
-0.4268292784690857,1602787882.9858935,-0.7317073345184326,-0.060975611209869385,gyro
-0.0302734375,1602787883.031486,-0.03369140625,-0.98681640625,acc
-0.4268292784690857,1602787883.0331304,-0.7317073345184326,-0.12195122241973877,gyro
-0.03125,1602787883.0806184,-0.03466796875,-0.98681640625,acc
-0.4268292784690857,1602787883.081359,-0.7317073345184326,-0.18292683362960815,gyro
-0.03173828125,1602787883.129969,-0.03466796875,-0.98583984375,acc
-0.4268292784690857,1602787883.1320026,-0.7317073345184326,-0.18292683362960815,gyro
-0.02978515625,1602787883.1340845,-0.03515625,-0.986328125,acc
-0.4268292784690857,1602787883.136037,-0.7317073345184326,-0.12195122241973877,gyro
